,Noise level,Scheme,Recall,FPR,Acc,Round 1 Tests,Total Tests,Round 1 TMACs,Total TMACs,Comp Relative to ITT (%),Total Channel Uses,Channel Uses Relative to ITT (%) 
0,No Noise,ITT,98.0,0.12090163934426229,99.87717502558854,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
1,No Noise,GTT,98.0,0.04918234353866962,99.94882083196856,12212,13812,335.34152,361.74152,44.879689835923195,5142839296,69.93926987376322
2,SNR 0,ITT,100.0,0.6721311475409836,99.32855680655067,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
3,SNR 0,GTT,100.0,0.18443378827001106,99.8157549950868,12212,15388,335.34152,387.74552,48.105892497130974,5380071424,73.165472534971
4,SNR 1,ITT,98.0,0.7008196721311475,99.2978505629478,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
5,SNR 1,GTT,98.0,0.20902496003934587,99.78914182771045,12212,15268,335.34152,385.76552,47.860242548308044,5362008064,72.91982258614807
6,SNR 2,ITT,100.0,0.5778688524590164,99.42272262026611,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
7,SNR 2,GTT,100.0,0.1680396737571212,99.83213232885686,12212,15172,335.34152,384.18152,47.66372258924971,5347557376,72.72330262708972
8,SNR 3,ITT,100.0,0.46311475409836067,99.53735926305015,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
9,SNR 3,GTT,100.0,0.15164555924423131,99.84850966262692,12212,14936,335.34152,380.28752000000003,47.180611023231286,5312032768,72.2401910610713
10,SNR 5,ITT,100.0,0.41188524590163933,99.5885363357216,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
11,SNR 5,GTT,100.0,0.12500512316078527,99.87512283000328,12212,15124,335.34152,383.38952,47.56546260972054,5340332032,72.62504264756056
