,Noise level,Scheme,Recall,FPR,Acc,Round 1 Tests,Total Tests,Round 1 TMACs,Total TMACs,Comp Relative to ITT (%),Total Channel Uses,Channel Uses Relative to ITT (%) 
0,No Noise,ITT,98.0,0.12090163934426229,99.87717502558854,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
1,No Noise,GTT,88.0,0.05328087216689208,99.93449066491975,12212,19792,335.34152,460.41152,57.121245618932406,6042996736,82.18082565677243
2,SNR 0,ITT,100.0,0.6721311475409836,99.32855680655067,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
3,SNR 0,GTT,80.0,0.2766506824050166,99.70316082541763,12212,24072,335.34152,531.03152,65.88276046028348,6687256576,90.94234049812351
4,SNR 1,ITT,98.0,0.7008196721311475,99.2978505629478,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
5,SNR 1,GTT,78.0,0.2766506824050166,99.70111365869636,12212,23216,335.34152,516.90752,64.13045749201326,6558404608,89.1900375298533
6,SNR 2,ITT,100.0,0.5778688524590164,99.42272262026611,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
7,SNR 2,GTT,80.0,0.25615803926390424,99.7236324926302,12212,23692,335.34152,524.76152,65.10486895567755,6630055936,90.16444899351757
8,SNR 3,ITT,100.0,0.46311475409836067,99.53735926305015,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
9,SNR 3,GTT,82.0,0.20287716709701217,99.77890599410416,12212,24344,335.34152,535.51952,66.43956701094879,6728200192,91.49914704878881
10,SNR 5,ITT,100.0,0.41188524590163933,99.5885363357216,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
11,SNR 5,GTT,80.0,0.15574408787245378,99.82394366197182,12212,21672,335.34152,491.43152,60.96976148382494,6325989376,86.02934152166496
