,Noise level,Scheme,Group Tests,Total Tests,Total Channel Uses,Channel Uses Relative to ITIT (%) ,Total GMACs,GMACs Relative to ITIT (%),Recall,FPR,Accuracy
0,No Noise,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,98.0,0.12102564102564103,99.87704918032787
1,No Noise,ITGT-FM,0.125,0.19745901639344263,150528.0,100.0,6.453073770491802,39.10953800298062,98.0,0.038974358974358976,99.95901639344262
2,No Noise,GTGT-SM,0.125,0.3831967213114754,122458.22950819673,81.35245901639345,9.517745901639344,57.6833084947839,54.0,0.057435897435897436,99.89549180327869
3,No Noise,GTGT-FM,0.125,0.19745901639344263,79261.62885245902,52.65573770491804,6.453073770491802,39.10953800298062,100.0,0.03692307692307692,99.96311475409836
4,SNR 0,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,100.0,0.6728205128205128,99.327868852459
5,SNR 0,ITGT-FM,0.125,0.1987704918032787,150528.0,100.0,6.474713114754098,39.24068554396423,100.0,0.13743589743589743,99.86270491803279
6,SNR 0,GTGT-SM,0.125,0.43598360655737706,143647.3075409836,95.42896174863387,10.388729508196722,62.961997019374074,68.0,0.3343589743589744,99.63319672131148
7,SNR 0,GTGT-FM,0.125,0.21581967213114753,86631.74295081967,57.551912568306,6.756024590163933,40.945603576751104,98.0,0.14974358974358973,99.84836065573771
8,SNR 1,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,98.0,0.6994871794871795,99.29918032786885
9,SNR 1,ITGT-FM,0.125,0.20040983606557378,150528.0,100.0,6.501762295081967,39.404619970193735,98.0,0.13743589743589743,99.86065573770492
10,SNR 1,GTGT-SM,0.125,0.45991803278688526,153254.77770491803,101.81147540983606,10.783647540983607,65.35543964232488,72.0,0.2769230769230769,99.69467213114754
11,SNR 1,GTGT-FM,0.125,0.22254098360655739,89329.73114754098,59.34426229508196,6.866926229508197,41.6177347242921,100.0,0.1517948717948718,99.84836065573771
12,SNR 2,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,100.0,0.5784615384615385,99.42213114754098
13,SNR 2,ITGT-FM,0.125,0.1892622950819672,150528.0,100.0,6.317827868852458,38.28986587183307,100.0,0.10051282051282051,99.89959016393442
14,SNR 2,GTGT-SM,0.125,0.40008196721311473,129236.10229508196,85.85519125683061,9.796352459016394,59.37183308494784,57.99999999999999,0.23589743589743592,99.72131147540983
15,SNR 2,GTGT-FM,0.125,0.214672131147541,86171.11081967213,57.24590163934427,6.737090163934426,40.83084947839046,98.0,0.13333333333333333,99.86475409836065
16,SNR 3,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,100.0,0.4635897435897436,99.53688524590164
17,SNR 3,ITGT-FM,0.125,0.20434426229508196,150528.0,100.0,6.566680327868851,39.79806259314455,100.0,0.11487179487179487,99.88524590163934
18,SNR 3,GTGT-SM,0.125,0.3487704918032787,108639.26557377049,72.17213114754098,8.949713114754099,54.24068554396423,54.0,0.11076923076923079,99.8422131147541
19,SNR 3,GTGT-FM,0.125,0.21598360655737706,86697.5475409836,57.59562841530055,6.75872950819672,40.96199701937406,100.0,0.0923076923076923,99.9077868852459
20,SNR 5,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,100.0,0.41230769230769226,99.58811475409836
21,SNR 5,ITGT-FM,0.125,0.1987704918032787,150528.0,100.0,6.474713114754098,39.24068554396423,100.0,0.08820512820512821,99.91188524590164
22,SNR 5,GTGT-SM,0.125,0.4087704918032787,132723.7455737705,88.17213114754098,9.939713114754099,60.24068554396424,64.0,0.14974358974358973,99.81352459016394
23,SNR 5,GTGT-FM,0.125,0.2069672131147541,83078.29508196721,55.19125683060109,6.609959016393443,40.060357675111774,98.0,0.08820512820512821,99.90983606557377
