,Noise level,Scheme,Group Tests,Total Tests,Total Channel Uses,Channel Uses Relative to ITIT (%) ,Total GMACs,GMACs Relative to ITIT (%),Recall,FPR,Accuracy
0,No Noise,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,98.0,0.12102564102564103,99.87704918032787
1,No Noise,GTGT-FM (K=4),0.25,0.2827868852459016,113512.91803278688,75.40983606557377,7.405983606557377,44.88474913065077,100.0,0.045128205128205125,99.95491803278689
2,No Noise,GTGT-FM (K=8),0.125,0.19745901639344263,79261.62885245902,52.65573770491804,6.453073770491802,39.10953800298062,100.0,0.03692307692307692,99.96311475409836
3,No Noise,GTGT-FM (K=16),0.0625,0.17331967213114755,69571.90295081967,46.21857923497267,6.282899590163934,38.07817933432687,96.0,0.022564102564102562,99.97336065573771
4,SNR 0,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,100.0,0.6728205128205128,99.327868852459
5,SNR 0,GTGT-FM (K=4),0.25,0.3148360655737705,126377.71540983606,83.95628415300546,7.934795081967213,48.08966716343765,100.0,0.1805128205128205,99.81967213114754
6,SNR 0,GTGT-FM (K=8),0.125,0.21581967213114753,86631.74295081967,57.551912568306,6.756024590163933,40.945603576751104,98.0,0.14974358974358973,99.84836065573771
7,SNR 0,GTGT-FM (K=16),0.0625,0.15561475409836065,62465.00721311475,41.49726775956284,5.990768442622952,36.30768753104819,88.0,0.11897435897435897,99.8688524590164
8,SNR 1,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,98.0,0.6994871794871795,99.29918032786885
9,SNR 1,GTGT-FM (K=4),0.25,0.31254098360655735,125456.45114754097,83.34426229508196,7.896926229508197,47.86015896671634,100.0,0.18666666666666668,99.81352459016394
10,SNR 1,GTGT-FM (K=8),0.125,0.22254098360655739,89329.73114754098,59.34426229508196,6.866926229508197,41.6177347242921,100.0,0.1517948717948718,99.84836065573771
11,SNR 1,GTGT-FM (K=16),0.0625,0.17922131147540984,71940.86819672132,47.79234972677596,6.380276639344262,38.668343268753105,98.0,0.11487179487179487,99.88319672131148
12,SNR 2,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,100.0,0.5784615384615385,99.42213114754098
13,SNR 2,GTGT-FM (K=4),0.25,0.31065573770491806,124699.69836065575,82.84153005464482,7.865819672131147,47.671634376552404,98.0,0.17846153846153848,99.81967213114754
14,SNR 2,GTGT-FM (K=8),0.125,0.214672131147541,86171.11081967213,57.24590163934427,6.737090163934426,40.83084947839046,98.0,0.13333333333333333,99.86475409836065
15,SNR 2,GTGT-FM (K=16),0.0625,0.18872950819672132,75757.53442622951,50.32786885245902,6.537161885245902,39.61916294088425,94.0,0.1435897435897436,99.85040983606558
16,SNR 3,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,100.0,0.4635897435897436,99.53688524590164
17,SNR 3,GTGT-FM (K=4),0.25,0.3058196721311475,122758.46295081967,81.55191256830601,7.786024590163934,47.18802781917535,100.0,0.12102564102564103,99.87909836065573
18,SNR 3,GTGT-FM (K=8),0.125,0.21598360655737706,86697.5475409836,57.59562841530055,6.75872950819672,40.96199701937406,100.0,0.0923076923076923,99.9077868852459
19,SNR 3,GTGT-FM (K=16),0.0625,0.182172131147541,73125.35081967214,48.579234972677604,6.428965163934426,38.96342523596621,96.0,0.08615384615384615,99.90983606557377
20,SNR 5,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,100.0,0.41230769230769226,99.58811475409836
21,SNR 5,GTGT-FM (K=4),0.25,0.309672131147541,124304.87081967214,82.5792349726776,7.849590163934426,47.573273720814704,98.0,0.13128205128205128,99.86680327868852
22,SNR 5,GTGT-FM (K=8),0.125,0.2069672131147541,83078.29508196721,55.19125683060109,6.609959016393443,40.060357675111774,98.0,0.08820512820512821,99.90983606557377
23,SNR 5,GTGT-FM (K=16),0.0625,0.16577868852459016,66544.89180327869,44.20765027322405,6.158473360655738,37.32408097367114,94.0,0.06564102564102564,99.92827868852459
